CMDLINE python dummy_atom_scheme_mem_debug.py
MEM 0.023438 1448926708.8608
MEM 15.082031 1448926708.9643
MEM 23.500000 1448926709.0693
MEM 35.789062 1448926709.1696
MEM 44.316406 1448926709.2706
MEM 50.531250 1448926709.3754
MEM 57.050781 1448926709.4778
MEM 62.757812 1448926709.5830
MEM 64.488281 1448926709.6863
MEM 67.230469 1448926709.7888
MEM 68.179688 1448926709.8936
MEM 69.917969 1448926709.9986
MEM 79.527344 1448926710.1036
MEM 87.070312 1448926710.2064
MEM 88.972656 1448926710.3086
MEM 90.000000 1448926710.4137
MEM 89.882812 1448926710.5142
MEM 86.183594 1448926710.6176
MEM 87.546875 1448926710.7190
MEM 87.238281 1448926710.8221
MEM 87.238281 1448926710.9235
MEM 90.074219 1448926711.0240
MEM 89.824219 1448926711.1261
MEM 91.269531 1448926711.2301
MEM 100.406250 1448926711.3340
MEM 104.066406 1448926711.4387
MEM 105.039062 1448926711.5402
MEM 105.164062 1448926711.6428
MEM 105.351562 1448926711.7463
MEM 105.355469 1448926711.8501
MEM 105.390625 1448926711.9528
MEM 88.843750 1448926712.0560
MEM 88.218750 1448926712.1601
MEM 88.289062 1448926712.2620
MEM 88.289062 1448926712.3644
MEM 87.539062 1448926712.4696
MEM 87.539062 1448926712.5700
MEM 87.539062 1448926712.6731
MEM 87.539062 1448926712.7751
MEM 87.289062 1448926712.8794
MEM 86.789062 1448926712.9845
MEM 86.789062 1448926713.0887
MEM 86.792969 1448926713.1900
MEM 86.132812 1448926713.2930
MEM 85.632812 1448926713.3965
MEM 85.632812 1448926713.4993
MEM 87.597656 1448926713.6035
MEM 87.347656 1448926713.7070
MEM 86.847656 1448926713.8095
MEM 86.597656 1448926713.9132
MEM 86.597656 1448926714.0170
MEM 86.597656 1448926714.1189
MEM 86.347656 1448926714.2222
MEM 86.347656 1448926714.3238
MEM 86.347656 1448926714.4280
MEM 87.535156 1448926714.5331
MEM 87.535156 1448926714.6371
MEM 87.535156 1448926714.7391
MEM 92.273438 1448926714.8428
MEM 93.359375 1448926714.9457
MEM 95.347656 1448926715.0509
MEM 102.015625 1448926715.1526
MEM 103.179688 1448926715.2561
MEM 103.179688 1448926715.3604
MEM 95.621094 1448926715.4644
MEM 97.328125 1448926715.5681
MEM 97.328125 1448926715.6715
MEM 97.085938 1448926715.7757
MEM 96.742188 1448926715.8782
MEM 96.742188 1448926715.9824
MEM 96.742188 1448926716.0868
